Date,Open,High,Low,Close,Volume,Risk Free Rate
2023-05-22,0.07214,0.07402,0.07075,0.0729,149600356.5,0.0371900010108947
2023-05-23,0.07292,0.07394,0.07244,0.07291,97354887.7,0.0369799995422363
2023-05-24,0.07287,0.07289,0.06929,0.07062,139915843.6,0.0371900010108947
2023-05-25,0.07064,0.07113,0.0686,0.07088,124136207.7,0.0381399989128112
2023-05-26,0.07089,0.07138,0.07036,0.07099,113240968.9,0.0380999994277954
2023-05-27,0.07099,0.07346,0.07078,0.07258,71817800.8,0.0380999994277954
2023-05-28,0.07257,0.07398,0.07187,0.07353,94333812.9,0.0380999994277954
2023-05-29,0.07354,0.07404,0.07263,0.07316,68748103.6,0.0380999994277954
2023-05-30,0.07316,0.07347,0.0719,0.07232,175927631.0,0.0370000004768371
2023-05-31,0.07231,0.0727,0.07054,0.07166,160479558.6,0.0363700008392334
2023-06-01,0.07168,0.07219,0.07072,0.07145,113397838.7,0.0360800004005432
2023-06-02,0.07145,0.07332,0.07092,0.07258,97418695.5,0.0369099998474121
2023-06-03,0.07259,0.07301,0.0722,0.07271,49794978.0,0.0369099998474121
2023-06-04,0.07271,0.07333,0.07233,0.07249,55434055.8,0.0369099998474121
2023-06-05,0.07248,0.0727,0.06352,0.06649,285181947.5,0.0369300007820129
2023-06-06,0.06645,0.07199,0.06588,0.07025,267055518.1,0.0369899988174438
2023-06-07,0.07027,0.07034,0.0667,0.06731,157755643.7,0.0378399991989135
2023-06-08,0.0673,0.06851,0.06701,0.06795,91903157.2,0.0371399998664856
2023-06-09,0.06795,0.07117,0.06733,0.06947,177716277.3,0.0374499988555908
2023-06-10,0.06951,0.07138,0.056,0.06179,667327725.8,0.0374499988555908
2023-06-11,0.06183,0.06293,0.06094,0.06154,212584007.3,0.0374499988555908
2023-06-12,0.06155,0.06171,0.05985,0.06144,222675710.2,0.0376500010490417
2023-06-13,0.06142,0.06279,0.0605,0.06174,168254584.5,0.0383899998664855
2023-06-14,0.06172,0.06218,0.05821,0.0604,259159810.4,0.0379600000381469
2023-06-15,0.0604,0.06192,0.05961,0.06148,159528619.2,0.037279999256134
2023-06-16,0.06149,0.06274,0.06067,0.06214,144955283.4,0.0376900005340576
2023-06-17,0.06214,0.06293,0.06167,0.06217,103996441.6,0.0376900005340576
2023-06-18,0.06217,0.06396,0.06105,0.0621,233473197.6,0.0376900005340576
2023-06-19,0.06209,0.06281,0.06147,0.06242,144194697.4,0.0376900005340576
2023-06-20,0.06243,0.06316,0.0607,0.06315,174506184.9,0.0372900009155273
2023-06-21,0.06314,0.06679,0.06284,0.0656,383331066.8,0.0372300004959106
2023-06-22,0.06561,0.06939,0.06504,0.06556,406556862.6,0.0379900002479553
2023-06-23,0.06556,0.07015,0.06524,0.06827,412532022.3,0.0373900008201599
2023-06-24,0.06828,0.06845,0.06518,0.06673,378442568.3,0.0373900008201599
2023-06-25,0.06674,0.06805,0.06639,0.06675,241236617.3,0.0373900008201599
2023-06-26,0.06676,0.06686,0.06326,0.06479,394195693.9,0.0371900010108947
2023-06-27,0.06477,0.0658,0.06435,0.06559,303718536.1,0.0376799988746643
2023-06-28,0.06559,0.06596,0.06006,0.06255,318431057.4,0.0371000003814697
